id,สถานภาพ,วิธีรับเข้า,วุฒิ,คะแนนเฉลี่ยก่อนรับเข้า,จบการศึกษาจาก,หน่วยกิตที่ลงทะเบียน,หน่วยกิตที่ผ่าน,หน่วยกิตของหลักสูตร,คะแนนเฉลี่ยสะสม,GPA 2559/1,GPA 2559/2,GPA 2560/1,GPA 2560/2,GPA 2560/3,GPA 2561/1,GPA 2561/2,GPA 2561/3,GPA 2562/1,GPA 2562/2,GPA 2562/3,GPA 2563/1,GPA 2563/2,GPA 2563/3,GPA 2564/1,GPA 2564/2,GPA 2564/3,GPA 2565/1,GPA 2565/2,GPA 2565/3,GPA 2566/1,GPA 2566/2,GPA 2567/1,GPA 2567/2,GPA 2567/3,GPA 2568/1
30,พ้นสภาพนักศึกษา,สอบคัดเลือก-สมัครทางอินเทอร์เน็ต,ปวช.,2.98,วิทยาลัยเทคโนโลยีปทีปพลีผล,43,40,137,1.48,0,0,0,0,0,0,3.5,0,2.86,2.79,0,2.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,สำเร็จการศึกษา,สอบคัดเลือก-สมัครทางอินเทอร์เน็ต,มัธยมศึกษาตอนปลาย (ม.6),2.59,โรงเรียนเจ้าพระยาวิทยาคม,140,137,137,2.12,0,0,3.53,3.59,0,3.67,3.59,0,3.54,0,0,3.45,3.34,3.34,0,0,3.28,0,0,0,0,0,0,0,0,0
32,สำเร็จการศึกษา,สอบคัดเลือก-สมัครทางอินเทอร์เน็ต,มัธยมศึกษาตอนปลาย (ม.6),2.62,โรงเรียนวัดรางบัว,137,137,137,2.77,0,0,2.38,2.31,0,2.43,2.34,0,2.54,2.72,0,2.75,2.81,2.81,2.82,0,0,0,0,0,0,0,0,0,0,0
33,สำเร็จการศึกษา,สอบคัดเลือก-สมัครผ่าน สกอ.,มัธยมศึกษาตอนปลาย (ม.6),2.78,โรงเรียนสิริรัตนาธร,137,137,137,2.43,0,0,2.16,2.04,0,2.3,2.36,0,2.34,2.49,0,2.57,2.65,2.65,2.67,0,0,0,0,0,0,0,0,0,0,0
34,สำเร็จการศึกษา,สอบคัดเลือก-สมัครผ่าน สกอ.,มัธยมศึกษาตอนปลาย (ม.6),3.46,โรงเรียนราชินีบูรณะ,137,137,137,2.87,0,0,2.43,1.62,0,2.04,2.23,0,2.21,2.4,0,2.43,2.43,2.43,0,2.44,0,0,0,0,0,0,0,0,0,0
35,สำเร็จการศึกษา,สอบคัดเลือก-สมัครผ่าน สกอ.,มัธยมศึกษาตอนปลาย (ม.6),3.01,โรงเรียนศึกษานารีวิทยา,137,137,137,3.21,0,0,2.19,2.2,0,2.35,2.29,2.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,สำเร็จการศึกษา,โควตา-เรียนดี,ปวส.,3.42,วิทยาลัยพณิชยการบางนา,137,137,137,2.27,0,0,2.82,2.74,0,2.94,2.77,0,2.63,2.68,0,2.74,2.7,2.7,0,2.7,0,0,0,0,0,0,0,0,0,0
37,สำเร็จการศึกษา,โควตา-เรียนดี,ปวส.,3.06,วิทยาลัยอาชีวศึกษาฉะเชิงเทรา,140,137,137,2.37,2.59,2.32,2.44,0,0,0,2.52,0,2.57,2.71,0,2.79,2.83,2.83,0,0,0,0,0,0,0,0,0,0,0,0
38,สำเร็จการศึกษา,โควตา-เรียนดี,ปวส.,3.03,วิทยาลัยเทคโนโลยีอรรถวิทย์พณิชยการ,146,140,137,2.24,0,0,2.93,2.53,0,2.72,2.79,2.79,2.81,2.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,สำเร็จการศึกษา,โควตา-เรียนดี,ปวส.,3.46,วิทยาลัยอาชีวศึกษาพิษณุโลก,140,137,137,2.48,0,0,2.32,2.26,0,2.46,2.58,0,2.64,2.71,0,2.79,2.81,2.81,0,2.82,0,0,0,0,0,0,0,0,0,0
40,สำเร็จการศึกษา,โควตา-เรียนดี,ปวส.,3.24,วิทยาลัยพณิชยการบางนา,140,137,137,2.24,1.66,1.54,1.56,0,0,0,1.84,0,1.93,2.1,0,2.25,2.39,2.39,0,0,0,0,0,0,0,0,0,0,0,0
41,สำเร็จการศึกษา,โควตา-เรียนดี,ปวส.,3.93,วิทยาลัยเทคนิคปราจีนบุรี,137,137,137,3.43,2.31,1.89,1.98,2.11,0,2.12,2.15,2.15,2.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,สำเร็จการศึกษา,โควตา-เรียนดี,ปวส.,3.64,วิทยาลัยพณิชยการบางนา,140,137,137,2.79,2.26,2.38,2.44,2.48,0,2.52,2.62,0,2.59,2.55,2.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,สำเร็จการศึกษา,โควตา-เรียนดี,ปวส.,3.31,วิทยาลัยเทคโนโลยีศรีวิกรม์บริหารธุรกิจ,141,138,137,2.69,2.22,1.93,1.89,1.96,0,1.95,2.04,2.04,2.17,2.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,โอนย้ายคณะ/สาขาวิชา/ภาค,โควตา-เรียนดี,ปวส.,3.55,วิทยาลัยเทคโนโลยีอรรถวิทย์พณิชยการ,85,79,137,2.4,2.28,2.22,2.24,0,0,0,2.31,2.31,2.21,2.23,2.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,สำเร็จการศึกษา,โควตา-เรียนดี,ปวส.,3.65,วิทยาลัยพณิชยการบางนา,137,137,137,3.26,2,1.76,1.93,1.95,0,1.91,2.04,2.04,2.1,2.12,2.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
